,trial_nb,time,pos,lick,frame,enc,speed,valve
4309,1,13.112,59.59199905395508,0,0,0,0.0,0
4310,1,13.12,59.60100173950195,0,1,1,2.871406934426604,0
4311,1,13.128,59.60100173950195,0,0,0,0.0,0
4312,1,13.136,59.60100173950195,0,0,1,2.871406934426604,0
4313,1,13.144,59.60100173950195,1,0,0,0.0,0
4314,1,13.152,59.611000061035156,1,1,1,2.871406934426604,0
4315,1,13.16,59.619998931884766,1,0,0,0.0,0
4316,1,13.168,59.62900161743164,1,0,1,2.871406934426604,0
4317,1,13.176,59.62900161743164,1,0,0,0.0,0
4318,1,13.184,59.62900161743164,1,1,1,2.871406934426604,0
4319,1,13.192,59.62900161743164,0,0,0,0.0,0
4320,1,13.2,59.62900161743164,0,0,1,2.871406934426604,0
4321,1,13.208,59.62900161743164,0,0,0,0.0,0
4322,1,13.216,59.62900161743164,0,1,1,2.871406934426604,0
4323,1,13.224,59.62900161743164,0,0,1,2.871406934426604,0
4324,1,13.232,59.638999938964844,0,0,1,2.871406934426604,0
4325,1,13.24,59.64799880981445,0,0,1,2.871406934426604,0
4326,1,13.248,59.65700149536133,0,1,1,2.871406934426604,0
4327,1,13.256,59.66600036621094,0,0,1,2.871406934426604,0
4328,1,13.264,59.66600036621094,0,0,1,2.871406934426604,0
4329,1,13.272,59.67599868774414,0,0,2,5.742813868853208,0
4330,1,13.28,59.67599868774414,0,1,1,2.871406934426604,0
4331,1,13.288,59.694000244140625,0,0,2,5.742813868853208,0
4332,1,13.296,59.694000244140625,0,0,2,5.742813868853208,0
4333,1,13.304,59.731998443603516,0,0,3,8.614220803279812,0
4334,1,13.312,59.731998443603516,0,0,2,5.742813868853208,0
4335,1,13.32,59.75,0,1,3,8.614220803279812,0
4336,1,13.328,59.75,0,0,2,5.742813868853208,0
4337,1,13.336,59.77799987792969,0,0,3,8.614220803279812,0
4338,1,13.344,59.805999755859375,0,0,2,5.742813868853208,0
4339,1,13.352,59.83399963378906,0,1,3,8.614220803279812,0
4340,1,13.36,59.86199951171875,0,0,2,5.742813868853208,0
4341,1,13.368,59.880001068115234,0,0,3,8.614220803279812,0
4342,1,13.376,59.880001068115234,0,0,3,8.614220803279812,0
4343,1,13.384,59.89899826049805,0,1,4,11.485627737706416,0
4344,1,13.392,59.917999267578125,0,0,4,11.485627737706416,0
4345,1,13.4,59.94499969482422,0,0,4,11.485627737706416,0
4346,1,13.408,59.972999572753906,0,0,5,14.35703467213302,0
4347,1,13.416,60.01100158691406,0,1,4,11.485627737706416,0
4348,1,13.424,60.01100158691406,0,0,5,14.35703467213302,0
4349,1,13.432,60.04800033569336,0,0,5,14.35703467213302,0
4350,1,13.44,60.084999084472656,0,0,5,14.35703467213302,0
4351,1,13.448,60.084999084472656,0,1,6,17.228441606559624,0
4352,1,13.456,60.178001403808594,0,0,6,17.228441606559624,0
4353,1,13.464,60.178001403808594,0,0,7,20.099848540986226,0
4354,1,13.472,60.2239990234375,0,0,7,20.099848540986226,0
4355,1,13.48,60.2239990234375,0,1,6,17.228441606559624,0
4356,1,13.488,60.33599853515625,0,0,7,20.099848540986226,0
4357,1,13.496,60.33599853515625,0,0,8,22.971255475412832,0
4358,1,13.504,60.448001861572266,0,0,7,20.099848540986226,0
4359,1,13.512,60.448001861572266,0,0,8,22.971255475412832,0
4360,1,13.52,60.52199935913086,0,1,8,22.971255475412832,0
4361,1,13.528,60.52199935913086,0,0,8,22.971255475412832,0
4362,1,13.536,60.59600067138672,0,0,8,22.971255475412832,0
4363,1,13.544,60.67100143432617,0,0,9,25.842662409839438,0
4364,1,13.552,60.755001068115234,0,1,9,25.842662409839438,0
4365,1,13.56,60.8380012512207,0,0,10,28.71406934426604,0
4366,1,13.568,60.922000885009766,0,0,10,28.71406934426604,0
4367,1,13.576,60.922000885009766,0,0,10,28.71406934426604,0
4368,1,13.584,61.01499938964844,0,1,10,28.71406934426604,0
4369,1,13.592,61.108001708984375,0,0,10,28.71406934426604,0
4370,1,13.6,61.20100021362305,0,0,11,31.585476278692646,0
4371,1,13.608,61.29399871826172,0,0,9,25.842662409839438,0
4372,1,13.616,61.395999908447266,0,1,10,28.71406934426604,0
4373,1,13.624,61.395999908447266,0,0,10,28.71406934426604,0
4374,1,13.632,61.48899841308594,0,0,9,25.842662409839438,0
4375,1,13.64,61.582000732421875,0,0,10,28.71406934426604,0
4376,1,13.648,61.582000732421875,0,1,9,25.842662409839438,0
4377,1,13.656,61.768001556396484,0,0,10,28.71406934426604,0
4378,1,13.664,61.768001556396484,0,0,10,28.71406934426604,0
4379,1,13.672,61.861000061035156,0,0,11,31.585476278692646,0
4380,1,13.68,61.861000061035156,0,1,10,28.71406934426604,0
4381,1,13.688,62.047000885009766,0,0,11,31.585476278692646,0
4382,1,13.696,62.047000885009766,0,0,11,31.585476278692646,0
4383,1,13.704,62.233001708984375,0,0,12,34.45688321311925,0
4384,1,13.712,62.233001708984375,0,0,12,34.45688321311925,0
4385,1,13.72,62.345001220703125,0,1,11,31.585476278692646,0
4386,1,13.728,62.345001220703125,0,0,12,34.45688321311925,0
4387,1,13.736,62.45600128173828,0,0,12,34.45688321311925,0
4388,1,13.744,62.56800079345703,0,0,12,34.45688321311925,0
4389,1,13.752,62.68000030517578,0,1,12,34.45688321311925,0
4390,1,13.76,62.79100036621094,0,0,12,34.45688321311925,0
4391,1,13.768,62.90299987792969,0,0,11,31.585476278692646,0
4392,1,13.776,62.90299987792969,0,0,12,34.45688321311925,0
4393,1,13.784,63.005001068115234,0,1,12,34.45688321311925,0
4394,1,13.792,63.106998443603516,0,0,13,37.32829014754586,0
4395,1,13.8,63.21900177001953,0,0,13,37.32829014754586,0
4396,1,13.808,63.33100128173828,0,0,14,40.19969708197245,0
4397,1,13.816,63.46099853515625,0,1,15,43.07110401639906,0
4398,1,13.824,63.46099853515625,0,0,15,43.07110401639906,0
4399,1,13.832,63.590999603271484,0,0,15,43.07110401639906,0
4400,1,13.84,63.72100067138672,0,0,16,45.942510950825664,0
4401,1,13.848,63.861000061035156,0,1,15,43.07110401639906,0
4402,1,13.856,64.0,0,0,15,43.07110401639906,0
4403,1,13.864,64.0,0,0,15,43.07110401639906,0
4404,1,13.872,64.13999938964844,0,0,14,40.19969708197245,0
4405,1,13.88,64.13999938964844,0,1,15,43.07110401639906,0
4406,1,13.888,64.41899871826172,0,0,14,40.19969708197245,0
4407,1,13.896,64.41899871826172,0,0,14,40.19969708197245,0
4408,1,13.904,64.67900085449219,0,0,13,37.32829014754586,0
4409,1,13.912,64.67900085449219,0,0,14,40.19969708197245,0
4410,1,13.92,64.80899810791016,0,1,13,37.32829014754586,0
4411,1,13.928,64.80899810791016,0,0,12,34.45688321311925,0
4412,1,13.936,64.94000244140625,0,0,13,37.32829014754586,0
4413,1,13.944,65.06999969482422,0,0,12,34.45688321311925,0
4414,1,13.952,65.18099975585938,0,1,12,34.45688321311925,0
