,com,perc,snr,r,cnn
321,"(260.4720756323787, 63.50785030819824)",43.6473,5.12515,0.7687,0.999845
322,"(277.4900022503043, 115.55421654698254)",49.7677,7.16278,0.96601,0.994938
323,"(256.1201857463751, 133.291476866761)",48.0682,5.86657,0.921102,0.999918
324,"(267.35016245232606, 198.40312984002284)",43.7017,7.70947,0.924973,0.969986
325,"(258.21924592544366, 173.4784117913142)",41.1989,5.3508,0.871964,0.998882
326,"(253.9427573383899, 229.76070219056837)",54.4785,8.93384,0.789094,0.46103
327,"(260.0865382319106, 232.0035463547538)",47.6745,14.081,0.964906,0.999993
328,"(264.11137430551173, 218.75707051049002)",46.3483,7.84719,0.953053,0.999844
329,"(271.2009374191366, 231.28639423597681)",47.623,8.87485,0.937147,0.973523
330,"(279.13476459858344, 216.59633425311878)",51.162,8.13811,0.873465,0.997435
331,"(241.54073566054223, 242.68007552961245)",46.2216,10.9982,0.928293,0.981141
332,"(274.57811340717967, 213.2609833755768)",46.5172,9.75457,0.907322,0.740269
333,"(260.65447025230003, 223.78964502851608)",40.8934,8.79054,0.88897,0.999976
